P_inst (ln_comp_coarse=3e-07) X,P_inst (ln_comp_coarse=3e-07) Y
1.021753677340648e-06,8.833705565969099e-05
1.021774451309928e-06,9.529618016122496e-05
1.021796441904296e-06,0.0001127123945291897
1.021803902596422e-06,0.0001216908234614258
1.021818823980674e-06,0.000140131392552927
1.021830707095292e-06,0.0001448668547194288
1.021841028022687e-06,0.0001370383980778668
1.021845528803239e-06,0.0001331402776373753
1.021850355738327e-06,0.0001307360701290576
1.021853321554428e-06,0.0001306228753771861
1.021855940590923e-06,0.0001310677738068461
1.021858828254511e-06,0.0001308964943290432
1.021861272602784e-06,0.0001294026785573303
1.021863868779339e-06,0.0001261822013243656
1.021866828822996e-06,0.0001206700987244066
1.02186962767012e-06,0.0001145793322383189
1.021871860468349e-06,0.0001103923547683508
1.021873594430395e-06,0.0001081337845994916
1.02187603836843e-06,0.0001057320171879928
1.021878129618591e-06,0.0001038498036158876
1.021880074730371e-06,0.0001021206508353211
1.021882393394856e-06,0.0001000605238805967
1.021886860759834e-06,9.599046137675331e-05
1.021893524853479e-06,8.891511583059196e-05
1.021900826225375e-06,8.007208600754579e-05
1.021904476911324e-06,7.573125262264354e-05
1.021911778283221e-06,6.82031463503056e-05
1.021918720429548e-06,6.249038955698624e-05
1.021932077238843e-06,5.486412447013971e-05
1.021948520561863e-06,4.961654783705901e-05
1.021971357595669e-06,4.606731382267626e-05
1.022001327295221e-06,4.380499679265208e-05
1.02204905044689e-06,4.191421369929337e-05
1.022121000737099e-06,4.05416453522098e-05
1.022200782815922e-06,3.993546666159076e-05
1.02230373281814e-06,3.975848949667661e-05
1.022334462436009e-06,3.975316254970835e-05
1.022395921671747e-06,3.975481154301626e-05
1.02247307016018e-06,3.976704201293756e-05
1.022591494824113e-06,3.979356410013367e-05
1.022766719593997e-06,3.983695853628552e-05
1.023058951010255e-06,3.990632413986308e-05
1.023599321008122e-06,4.001570206163359e-05
1.024600830600297e-06,4.016462550030782e-05
1.026603849784646e-06,4.033193690130464e-05
1.03e-06,4.043187370848087e-05
1.03007867070662e-06,4.043330181597791e-05
1.030169988462538e-06,4.075882798908184e-05
1.030215647340498e-06,4.306122079438188e-05
1.030230004376352e-06,4.458692993757971e-05
1.030241061899495e-06,4.585120206979146e-05
1.030255564070745e-06,4.693974746312033e-05
1.030266903310598e-06,4.736473036616826e-05
1.030275824321804e-06,5.035975751441694e-05
1.030281748675308e-06,5.735929631589155e-05
1.030282983280745e-06,5.945983859557697e-05
1.03028439821056e-06,6.243913295673338e-05
1.030285545568962e-06,6.653477234517558e-05
1.030287840285766e-06,7.712363094290357e-05
1.030289794480537e-06,8.21625640729041e-05
1.030291748675308e-06,8.391582358030714e-05
1.030292037145473e-06,8.390543754800091e-05
1.030292614085804e-06,8.391921351987697e-05
1.03029315195181e-06,8.39670683737381e-05
1.030294227683822e-06,8.411826444224119e-05
1.030296379147846e-06,8.43670939299427e-05
1.030300682075894e-06,8.365216272720184e-05
1.030305866546174e-06,9.356021192515621e-05
1.03030816664052e-06,0.0001154335737173759
1.030309790641336e-06,0.0001373900365631618
1.030311609180771e-06,0.000162139280306302
1.030313223353997e-06,0.0001810619677842431
