/r"out_DTC X,/out_DTC Y,/in_DTC X,/in_DTC Y,/V_ramp X,/V_ramp Y,/V_n X,/V_n Y,D X,D LogicBus
8.30322254441784e-07,-0.0001757511350930788,8.303648408518359e-07,0.2973501259609816,8.30322254441784e-07,0.5120736898655821,8.30322254441784e-07,0.6311542275399122,  ,  
8.303224379752876e-07,-0.0001756340304609834,8.303651673998159e-07,0.2966317204048888,8.303224379752876e-07,0.5120717324011638,8.303224379752876e-07,0.6311541660893879,  ,  
8.303226442743746e-07,-0.0001754573068777915,8.303654884106056e-07,0.295925496667744,8.303226442743746e-07,0.5120700078549361,8.303226442743746e-07,0.6311540970324931,  ,  
8.303228830467611e-07,-0.0001751980773447502,8.303658114395723e-07,0.2952148329409295,8.303228830467611e-07,0.5120687080115927,8.303228830467611e-07,0.6311540171263353,  ,  
8.303231115412875e-07,-0.0001748991422094272,8.303661341341052e-07,0.2945049049684899,8.303231115412875e-07,0.5120682491533129,8.303231115412875e-07,0.6311539406805391,  ,  
8.303233485751776e-07,-0.0001745396055252154,8.303664627989764e-07,0.2937818422517807,8.303233485751776e-07,0.5120686948319895,8.303233485751776e-07,0.6311538613991792,  ,  
8.30323558129671e-07,-0.0001741817131224462,8.303668011986216e-07,0.2930373630324841,8.30323558129671e-07,0.5120699714780479,8.30323558129671e-07,0.6311537913269814,  ,  
8.303237899245725e-07,-0.0001737418859417061,8.303671553818272e-07,0.2922581599801272,8.303237899245725e-07,0.5120724837675519,8.303237899245725e-07,0.6311537138376331,  ,  
8.30324023401249e-07,-0.0001732520016442461,8.303675408956189e-07,0.2914100296384374,8.30324023401249e-07,0.5120763313481321,8.30324023401249e-07,0.6311536358070293,  ,  
8.303242627012148e-07,-0.0001726914341947551,8.303679835749942e-07,0.2904361350128122,8.303242627012148e-07,0.5120818179022659,8.303242627012148e-07,0.6311535558524481,  ,  
8.30324519643435e-07,-0.0001720110922128774,8.303683993308783e-07,0.2895214720676196,8.30324519643435e-07,0.5120896613618611,8.30324519643435e-07,0.6311534700288416,  ,  
8.303247464106353e-07,-0.0001713390873069916,8.303687790226701e-07,0.2886861501258539,8.303247464106353e-07,0.5120984342760139,8.303247464106353e-07,0.6311533943064301,  ,  
8.303249705893815e-07,-0.0001706013949781608,8.303691352256702e-07,0.2879025035255267,8.303249705893815e-07,0.512108976551526,8.303249705893815e-07,0.631153319471323,  ,  
8.303252184407387e-07,-0.0001696909585549798,8.303694729100343e-07,0.2871595979244205,8.303252184407387e-07,0.5121230052576766,8.303252184407387e-07,0.6311532367561532,  ,  
