"P_inst (b0=1,b1=0,b2=1,b3=0) X","P_inst (b0=1,b1=0,b2=1,b3=0) Y"
1.020352829507588e-06,0.0008619822888124796
1.020361473841495e-06,0.0007931498261254728
1.020374482688678e-06,0.0006993048674591437
1.020397586508764e-06,0.0005577250028335341
1.020432329627423e-06,0.0003929914448557514
1.020466164813711e-06,0.0002741577147971632
1.0205e-06,0.0001854007631365437
1.020512644728525e-06,0.0001604724783959586
1.020529430795188e-06,0.0001304109318961852
1.020544933469502e-06,0.000108939930805502
1.02057172149008e-06,8.769043690027638e-05
1.020599323676349e-06,8.072348060291211e-05
1.020628490302535e-06,7.95336590792393e-05
1.020668879223959e-06,8.010153524887461e-05
1.020703398575651e-06,8.064778597683345e-05
1.020753037073792e-06,8.151184826359969e-05
1.020815840773155e-06,0.0001316142243948979
1.02082764170235e-06,0.0001596178719600151
1.020833542166948e-06,0.000174044587235361
1.020845343096143e-06,0.0001965622421174611
1.020858109932862e-06,0.0002010592002730559
1.020869992208097e-06,0.0001929329758612624
1.020881744566987e-06,0.0001856965573002579
1.020886237025464e-06,0.0001848153576395334
1.020890182356181e-06,0.000184127902313364
1.020894142615744e-06,0.0001824553982032184
1.020901073514033e-06,0.0001751586790495408
1.020906597534436e-06,0.0001656457784577036
1.020909443993336e-06,0.0001605612576956518
1.0209125218715e-06,0.0001562061336861469
1.02091499620219e-06,0.0001536809132614723
1.020917700621104e-06,0.000151293276227762
1.020920495324326e-06,0.0001488421870638681
1.020923405081677e-06,0.0001461654615488116
1.020927081459277e-06,0.0001425153192456492
1.020932623011896e-06,0.0001361006723092418
1.020940305430783e-06,0.0001240509843208264
1.020950993189337e-06,0.0001032976491497883
1.020964907514586e-06,7.873686628338712e-05
1.020975294407676e-06,6.488887749161883e-05
1.020988583714143e-06,5.219219915429653e-05
1.021011908071524e-06,3.954111283935736e-05
1.021041436605081e-06,3.25136818580365e-05
1.021082904344941e-06,2.811659912062105e-05
1.021139614927679e-06,2.460524026460356e-05
1.021214713925217e-06,2.134048086825151e-05
