delay (Vbp=0) X,delay (Vbp=0) Y,delay (Vbp=0.55) X,delay (Vbp=0.55) Y,delay (Vbp=1.1) X,delay (Vbp=1.1) Y,delay (Vbp=1.5) X,delay (Vbp=1.5) Y,delay (Vbp=2) X,delay (Vbp=2) Y
2.66e-06,1.162585352797236e-09,2.66e-06,1.708271858333185e-09,2.66e-06,2.221393940566809e-09,2.66e-06,2.502343624638708e-09,2.66e-06,2.79013265287578e-09
2.68e-06,1.174814936221838e-09,2.68e-06,1.724604517484319e-09,2.68e-06,2.242049946369381e-09,2.68e-06,2.523890817422927e-09,2.68e-06,2.813748456498931e-09
2.7e-06,1.188152958465889e-09,2.7e-06,1.74145752722156e-09,2.7e-06,2.261468013574783e-09,2.7e-06,2.546281519864877e-09,2.7e-06,2.836182658275256e-09
2.72e-06,1.200575749576185e-09,2.72e-06,1.75796356104994e-09,2.72e-06,2.281263166650809e-09,2.72e-06,2.567511965326022e-09,2.72e-06,2.860192048167292e-09
2.74e-06,1.213694492323339e-09,2.74e-06,1.774516773113862e-09,2.74e-06,2.301454353756243e-09,2.74e-06,2.590145829522606e-09,2.74e-06,2.884093707011669e-09
2.76e-06,1.226824932118191e-09,2.76e-06,1.790632269190636e-09,2.76e-06,2.322103427582131e-09,2.76e-06,2.612366712124248e-09,2.76e-06,2.907719236116672e-09
2.78e-06,1.238949897917591e-09,2.78e-06,1.80802065233398e-09,2.78e-06,2.341425172910414e-09,2.78e-06,2.632597939631281e-09,2.78e-06,2.931437243280823e-09
2.8e-06,1.252404115668379e-09,2.8e-06,1.824430584173469e-09,2.8e-06,2.361853009355327e-09,2.8e-06,2.655848592340674e-09,2.8e-06,2.95531307147016e-09
2.82e-06,1.265191595765895e-09,2.82e-06,1.840926935841343e-09,2.82e-06,2.381633484196547e-09,2.82e-06,2.675793295183959e-09,2.82e-06,2.978657087937145e-09
2.84e-06,1.277949410531457e-09,2.84e-06,1.857871819325814e-09,2.84e-06,2.401340255988515e-09,2.84e-06,2.698840917015738e-09,2.84e-06,3.002383051121982e-09
2.86e-06,1.291032112766812e-09,2.86e-06,1.874633671676412e-09,2.86e-06,2.421203360257182e-09,2.86e-06,2.718420579300777e-09,2.86e-06,3.025801243168663e-09
2.88e-06,1.303709606250067e-09,2.88e-06,1.89073865690335e-09,2.88e-06,2.441849369787588e-09,2.88e-06,2.742650542866157e-09,2.88e-06,3.049555102364103e-09
2.9e-06,1.316573694776978e-09,2.9e-06,1.907949852049388e-09,2.9e-06,2.461399532382196e-09,2.9e-06,2.764348142255904e-09,2.9e-06,3.072892776464336e-09
2.92e-06,1.329412774149161e-09,2.92e-06,1.924284002618738e-09,2.92e-06,2.48153810128946e-09,2.92e-06,2.786182183529129e-09,2.92e-06,3.096628085272493e-09
2.94e-06,1.34271627111117e-09,2.94e-06,1.94090823517795e-09,2.94e-06,2.501271268730797e-09,2.94e-06,2.807437067964911e-09,2.94e-06,3.119773224375638e-09
2.96e-06,1.355293353868369e-09,2.96e-06,1.957577349413852e-09,2.96e-06,2.522250749230666e-09,2.96e-06,2.829622654158399e-09,2.96e-06,3.143954819649154e-09
2.98e-06,1.368188834119294e-09,2.98e-06,1.973692539704146e-09,2.98e-06,2.541632857875336e-09,2.98e-06,2.851580567970611e-09,2.98e-06,3.166481109243659e-09
3e-06,1.380846652585297e-09,3e-06,1.990994643776207e-09,3e-06,2.561840590543611e-09,3e-06,2.873626808286655e-09,3e-06,3.191381844591192e-09
3.02e-06,1.393774019324229e-09,3.02e-06,2.007163620733852e-09,3.02e-06,2.582142917914641e-09,3.02e-06,2.895240379719928e-09,3.02e-06,3.214824851347177e-09
3.04e-06,1.407032524202763e-09,3.04e-06,2.02424168468349e-09,3.04e-06,2.602068226633855e-09,3.04e-06,2.917377790950367e-09,3.04e-06,3.238789571889881e-09
3.06e-06,1.419628830687521e-09,3.06e-06,2.040856116071336e-09,3.06e-06,2.622403078538191e-09,3.06e-06,2.939181073475225e-09,3.06e-06,3.261358933228724e-09
3.08e-06,1.43272398311535e-09,3.08e-06,2.058252749228846e-09,3.08e-06,2.641909027310479e-09,3.08e-06,2.960905105913504e-09,3.08e-06,3.286030665486764e-09
3.1e-06,1.445872562141531e-09,3.1e-06,2.074485030997221e-09,3.1e-06,2.663003258272815e-09,3.1e-06,2.982574654575383e-09,3.1e-06,3.309656306060888e-09
3.12e-06,1.459047982309745e-09,3.12e-06,2.091172779377216e-09,3.12e-06,2.682437544335188e-09,3.12e-06,3.00443546187287e-09,3.12e-06,3.333462799135635e-09
3.14e-06,1.472041770818105e-09,3.14e-06,2.107627292098332e-09,3.14e-06,2.702230416016803e-09,3.14e-06,3.026378531177882e-09,3.14e-06,3.35668619594386e-09
3.16e-06,1.483931768956026e-09,3.16e-06,2.124810631524006e-09,3.16e-06,2.723329652603569e-09,3.16e-06,3.049090648904666e-09,3.16e-06,3.380426122227743e-09
3.18e-06,1.49724472247321e-09,3.18e-06,2.141475447152166e-09,3.18e-06,2.742341307394191e-09,3.18e-06,3.071065270788653e-09,3.18e-06,3.404028330415548e-09
3.2e-06,1.510603813352051e-09,3.2e-06,2.158751063282715e-09,3.2e-06,2.763430304385342e-09,3.2e-06,3.093068305303867e-09,3.2e-06,3.427769150518342e-09
3.22e-06,1.523739008977112e-09,3.22e-06,2.175162814516548e-09,3.22e-06,2.782988347045873e-09,3.22e-06,3.114349958562872e-09,3.22e-06,3.452152019341296e-09
3.24e-06,1.536726299478184e-09,3.24e-06,2.192093775151811e-09,3.24e-06,2.803483324996771e-09,3.24e-06,3.136840188730536e-09,3.24e-06,3.475918812491417e-09
3.26e-06,1.549801556384929e-09,3.26e-06,2.208669133724339e-09,3.26e-06,2.823237585318815e-09,3.26e-06,3.158689352524718e-09,3.26e-06,3.498723669071779e-09
3.28e-06,1.562075529784449e-09,3.28e-06,2.225796333579521e-09,3.28e-06,2.843479674274872e-09,3.28e-06,3.181173895305211e-09,3.28e-06,3.523045112559436e-09
3.3e-06,1.574649012692269e-09,3.3e-06,2.242492856459012e-09,3.3e-06,2.864419904235615e-09,3.3e-06,3.202070756488639e-09,3.3e-06,3.547048587163459e-09
3.32e-06,1.587814621247531e-09,3.32e-06,2.259357187959531e-09,3.32e-06,2.884159788524103e-09,3.32e-06,3.224569402245658e-09,3.32e-06,3.571028270434068e-09
3.34e-06,1.600996491375116e-09,3.34e-06,2.276357495771233e-09,3.34e-06,2.90423549324673e-09,3.34e-06,3.246248068796303e-09,3.34e-06,3.594767651570165e-09
3.36e-06,1.614284106085775e-09,3.36e-06,2.293053986190886e-09,3.36e-06,2.924610655617828e-09,3.36e-06,3.268451492105274e-09,3.36e-06,3.617572863363894e-09
3.38e-06,1.626743933627976e-09,3.38e-06,2.309907263249375e-09,3.38e-06,2.945267742287194e-09,3.38e-06,3.290801011540186e-09,3.38e-06,3.642002336765198e-09
3.4e-06,1.640308831734522e-09,3.4e-06,2.326751877138763e-09,3.4e-06,2.965020193168805e-09,3.4e-06,3.313276675963238e-09,3.4e-06,3.666629387333275e-09
3.42e-06,1.653359819621744e-09,3.42e-06,2.343569051690491e-09,3.42e-06,2.985191427868425e-09,3.42e-06,3.335523740301443e-09,3.42e-06,3.689102214263824e-09
3.44e-06,1.666261431526153e-09,3.44e-06,2.360989413110363e-09,3.44e-06,3.005966239167903e-09,3.44e-06,3.357658363605166e-09,3.44e-06,3.713980258208305e-09
