"P_inst (c0=1,c1=1,c2=1,c3=0) X","P_inst (c0=1,c1=1,c2=1,c3=0) Y"
7.015073686539683e-08,5.491484115560365e-05
7.015155302664489e-08,4.555393132167881e-05
7.015242304068403e-08,3.372992161426689e-05
7.015313153415881e-08,2.357565755571313e-05
7.015387482206074e-08,1.469120466327334e-05
7.015456309877042e-08,9.019728320990834e-06
7.015546932409053e-08,5.04683235926432e-06
7.015660101803212e-08,2.98852175308587e-06
7.015776651777753e-08,1.974593663441846e-06
7.015882190402472e-08,1.385949802216136e-06
7.016001474456106e-08,9.269238866378312e-07
7.016158983806903e-08,5.405698409227071e-07
7.016401018736603e-08,2.33456289200788e-07
7.016769256205254e-08,6.672022793849941e-08
7.017228724173488e-08,1.841621068663551e-08
7.017766543516004e-08,8.361820268267307e-09
7.018423374139849e-08,6.271445236166598e-09
7.019296936630004e-08,5.713110938861326e-09
7.020000000000001e-08,5.551578875419427e-09
7.02043278747477e-08,3.750194342453772e-09
7.020954351252144e-08,3.699589867875263e-09
7.021443485475954e-08,3.6873814782561e-09
7.022421753923573e-08,3.686535207717858e-09
7.023957612615127e-08,3.682658399548064e-09
7.026716282694659e-08,3.678761852764103e-09
7.032233622853722e-08,3.672553514224143e-09
7.042981378522687e-08,3.657275688665364e-09
7.064476889860618e-08,3.629808280249675e-09
7.107467912536479e-08,3.577588178182239e-09
7.193449957888201e-08,3.482721257373714e-09
7.2967249789441e-08,3.383057069995648e-09
7.400000000000001e-08,3.296094984387599e-09
7.403100851431426e-08,7.802356374544753e-09
7.407010741372737e-08,1.631352805712778e-06
7.408634398701145e-08,6.106334119380514e-06
7.409461308079518e-08,9.244874774537873e-06
7.410463311424785e-08,1.146116690996998e-05
7.411267825059323e-08,2.255451752413499e-05
7.411778795266333e-08,4.8788285065115e-05
7.412374258833836e-08,8.21391587480049e-05
7.412831513940039e-08,9.072921601451899e-05
7.413253428968664e-08,9.69114154012719e-05
7.413575265865725e-08,0.0001158749801668215
7.413828932005037e-08,0.0001472132363486173
7.414143802299807e-08,0.0001981900930796746
7.414390654814796e-08,0.0002363932525386001
7.414680500621704e-08,0.0002687244503295164
7.414983936367694e-08,0.0002839405950440707
7.41518322439941e-08,0.0002932153695468695
7.415403930163265e-08,0.0003185486775938905
7.415559168445832e-08,0.0003395086452332265
7.415690473653206e-08,0.000348483120593406
7.41582831281611e-08,0.0003436076718893439
