"P_inst (b0=1,b1=0,b2=1,b3=0) X","P_inst (b0=1,b1=0,b2=1,b3=0) Y"
1.010376318131257e-06,0.0001964385057075104
1.010378230511961e-06,0.0002223185285518141
1.010379998514107e-06,0.0002431534796838248
1.010382233025823e-06,0.0002633563506161848
1.010384208849766e-06,0.0002800218681130385
1.010386201068913e-06,0.000308337444471014
1.010388260367129e-06,0.0003446278829817963
1.010390067104728e-06,0.0003695602417884174
1.010392348184248e-06,0.0003914350901692274
1.010394715486863e-06,0.0004100620986514236
1.01039701306108e-06,0.000424032817076883
1.010399330797521e-06,0.000445783366631145
1.010401567326657e-06,0.0004770947686482088
1.010403346182968e-06,0.0004944134160967927
1.010405167149161e-06,0.0004994584007465453
1.01040754419095e-06,0.0004909360989966554
1.010409435236758e-06,0.0004778609807984097
1.010411382994118e-06,0.0004629212318560295
1.010413488757481e-06,0.0004477376577386256
1.010415866261095e-06,0.0004341264382626372
1.010418464636337e-06,0.0004248705755415144
1.010422146423428e-06,0.0004174142577994196
1.010425172624603e-06,0.0004125449824634336
1.010427954529407e-06,0.0004080888925887626
1.010430943046188e-06,0.0004032254810679601
1.010435077802454e-06,0.0003963964196467551
1.010440959013213e-06,0.0003866205337937578
1.010449616446467e-06,0.0003722939798176091
1.010463026335323e-06,0.0003507441761118439
1.01048514065546e-06,0.0003228098265935745
1.0105e-06,0.0003219831326526406
1.010505968114267e-06,0.0003274691112704153
1.010516477947863e-06,0.0003424888026577051
1.01052594009403e-06,0.0003509449878060616
1.010535692608417e-06,0.0003469805950537553
1.01054056886561e-06,0.0003405745043148198
1.010550321379997e-06,0.0003234837926718204
1.010560442138061e-06,0.000311966008633513
1.010565095923954e-06,0.0003136088936201008
1.010568885511103e-06,0.0003141152962400675
1.010572621093024e-06,0.0003074837499033651
1.010575518877412e-06,0.0002953856117648204
1.010579439931863e-06,0.0002750679172151986
1.010582305677736e-06,0.0002623775799345689
1.010586107027867e-06,0.0002461568614841818
1.010588851330485e-06,0.0002357372431933503
1.010590909705889e-06,0.0002293321975527552
1.010593690493152e-06,0.0002210923097770549
1.010595697598326e-06,0.0002152260357399058
1.01059800876685e-06,0.0002085380417300526
1.010601611148761e-06,0.0001983223832026838
1.010608815912582e-06,0.000179749529924602
1.010617611094983e-06,0.0001625058829529725
1.010630618857551e-06,0.0001444235295755259
1.010641996935774e-06,0.0001314051433726152
1.010652481111938e-06,0.0001206155887245392
1.010664792245265e-06,0.000109207643941609
1.010681828431706e-06,9.540083311113124e-05
1.010707358499551e-06,7.816714408025235e-05
1.010743982182001e-06,5.873402529113368e-05
1.010779453861791e-06,4.435871875684706e-05
1.010818534527413e-06,3.252591002900462e-05
