delay (Vbp=0) X,delay (Vbp=0) Y,delay (Vbp=0.55) X,delay (Vbp=0.55) Y,delay (Vbp=1.1) X,delay (Vbp=1.1) Y,delay (Vbp=1.5) X,delay (Vbp=1.5) Y,delay (Vbp=2) X,delay (Vbp=2) Y
1.5e-06,6.485534792337621e-10,1.5e-06,9.530957842995471e-10,1.5e-06,1.304131745376177e-09,1.5e-06,1.506901217136104e-09,1.5e-06,1.725543291636343e-09
1.52e-06,6.585131570906295e-10,1.52e-06,9.686522899533013e-10,1.52e-06,1.323733484268327e-09,1.52e-06,1.528183107441442e-09,1.52e-06,1.74900637445581e-09
1.54e-06,6.674841704716329e-10,1.54e-06,9.834787634215156e-10,1.54e-06,1.342315900925632e-09,1.54e-06,1.548761017019333e-09,1.54e-06,1.771387615357324e-09
1.56e-06,6.777599697833266e-10,1.56e-06,9.995124843504291e-10,1.56e-06,1.362105478159036e-09,1.56e-06,1.570515462602487e-09,1.56e-06,1.794953815901859e-09
1.58e-06,6.87229780244863e-10,1.58e-06,1.01543917298846e-09,1.58e-06,1.381219080451398e-09,1.58e-06,1.591406189715327e-09,1.58e-06,1.817516173887234e-09
1.6e-06,6.973373534431859e-10,1.6e-06,1.03093864656924e-09,1.6e-06,1.400587231043997e-09,1.6e-06,1.612655153075644e-09,1.6e-06,1.840486383020695e-09
1.62e-06,7.073951381876899e-10,1.62e-06,1.045963920351816e-09,1.62e-06,1.419434614201162e-09,1.62e-06,1.633347164139572e-09,1.62e-06,1.862889936394179e-09
1.64e-06,7.174270209675524e-10,1.64e-06,1.062915729269766e-09,1.64e-06,1.441908189721017e-09,1.64e-06,1.658509905954885e-09,1.64e-06,1.889149253455785e-09
1.66e-06,7.278254632830057e-10,1.66e-06,1.07861415080392e-09,1.66e-06,1.460887833543278e-09,1.66e-06,1.679382259678337e-09,1.66e-06,1.911828280072059e-09
1.68e-06,7.387862615419135e-10,1.68e-06,1.094734724315713e-09,1.68e-06,1.480532297001899e-09,1.68e-06,1.700886407695954e-09,1.68e-06,1.935379742991703e-09
1.7e-06,7.500944978304674e-10,1.7e-06,1.110161793792072e-09,1.7e-06,1.499346657649883e-09,1.7e-06,1.721373563644457e-09,1.7e-06,1.957831769346453e-09
1.72e-06,7.609908391861117e-10,1.72e-06,1.127350867585891e-09,1.72e-06,1.519551568695107e-09,1.72e-06,1.74351001654035e-09,1.72e-06,1.982047727054128e-09
1.74e-06,7.71683455464106e-10,1.74e-06,1.142791188480554e-09,1.74e-06,1.538717013645405e-09,1.74e-06,1.764446399961135e-09,1.74e-06,2.006915130621952e-09
1.76e-06,7.826863444064263e-10,1.76e-06,1.158665003565679e-09,1.76e-06,1.558241515839832e-09,1.76e-06,1.785742458712581e-09,1.76e-06,2.030192347064319e-09
1.78e-06,7.934135276123936e-10,1.78e-06,1.174089294954731e-09,1.78e-06,1.577109529181091e-09,1.78e-06,1.806468510836833e-09,1.78e-06,2.052757942423163e-09
1.8e-06,8.056899502044932e-10,1.8e-06,1.190838768321281e-09,1.8e-06,1.597715463185859e-09,1.8e-06,1.829171701528446e-09,1.8e-06,2.077641840427449e-09
