/out_DTC X,/out_DTC Y,/in_DTC X,/in_DTC Y,/V_ramp X,/V_ramp Y,/V_n X,/V_n Y,D X,D LogicBus
8.303710881266854e-07,0.004743082909684311,8.303710881266854e-07,0.2836061212921065,8.303710881266854e-07,0.4935217638253895,8.303710881266854e-07,0.6539142984386291,  ,  
8.303714143683012e-07,0.004840358419519154,8.303714143683012e-07,0.2828883897372398,8.303714143683012e-07,0.4936069611303094,8.303714143683012e-07,0.6540075152620868,  ,  
8.30371752571636e-07,0.00493792069349806,8.30371752571636e-07,0.2821443424007517,8.30371752571636e-07,0.4936922295966791,8.30371752571636e-07,0.6540995953388774,  ,  
8.303721179171247e-07,0.005039037328919528,8.303721179171247e-07,0.2813405823256139,8.303721179171247e-07,0.4937804513287836,8.303721179171247e-07,0.6541933710230752,  ,  
8.303725189426799e-07,0.005144434478169833,8.303725189426799e-07,0.280458326104244,8.303725189426799e-07,0.4938723988145968,8.303725189426799e-07,0.6542891352664143,  ,  
8.303729958144085e-07,0.005261925080466017,8.303729958144085e-07,0.2794092083012164,8.303729958144085e-07,0.4939753538135053,8.303729958144085e-07,0.6543933348887642,  ,  
8.30373438412904e-07,0.005362106134663969,8.30373438412904e-07,0.2784354916111246,8.30373438412904e-07,0.4940639329816913,8.30373438412904e-07,0.6544792433229011,  ,  
8.303738633575052e-07,0.005451507012102274,8.303738633575052e-07,0.2775006134886165,8.303738633575052e-07,0.4941444986440514,8.303738633575052e-07,0.6545538610143044,  ,  
8.303743920420708e-07,0.005553531192175325,8.303743920420708e-07,0.2763375074441102,8.303743920420708e-07,0.4942395565919568,8.303743920420708e-07,0.654636048437868,  ,  
8.303749053539838e-07,0.005641902671034362,8.303749053539838e-07,0.2752082212356075,8.303749053539838e-07,0.4943262693372104,8.303749053539838e-07,0.6547031057561411,  ,  
8.303754713110829e-07,0.005726784526886559,8.303754713110829e-07,0.2739631156176023,8.303754713110829e-07,0.4944162111648925,8.303754713110829e-07,0.6547615303721792,  ,  
8.303760793532569e-07,0.00580458990859977,8.303760793532569e-07,0.272625422834881,8.303760793532569e-07,0.4945090032662994,8.303760793532569e-07,0.654807281030253,  ,  
8.303767172086717e-07,0.005874929366939973,8.303767172086717e-07,0.2712221409222132,8.303767172086717e-07,0.4946077724304879,8.303767172086717e-07,0.6548404518079193,  ,  
8.303773831453095e-07,0.005942068051004097,8.303773831453095e-07,0.2697570803190819,8.303773831453095e-07,0.4947210995347247,8.303773831453095e-07,0.6548658334644277,  ,  
8.303780769992583e-07,0.006013208746199038,8.303780769992583e-07,0.2682306016316379,8.303780769992583e-07,0.4948613159446943,8.303780769992583e-07,0.6548911508129157,  ,  
8.303788047181161e-07,0.006099043500623322,8.303788047181161e-07,0.2666296201444904,8.303788047181161e-07,0.4950457102210505,8.303788047181161e-07,0.6549268903543227,  ,  
8.303794871160882e-07,0.006199131513996536,8.303794871160882e-07,0.2651283446058348,8.303794871160882e-07,0.4952650032940072,8.303794871160882e-07,0.6549782279414814,  ,  
8.303801197655149e-07,0.006316533761838668,8.303801197655149e-07,0.2637365158671202,8.303801197655149e-07,0.4955175712438197,8.303801197655149e-07,0.6550485788857089,  ,  
8.303806884505199e-07,0.006447899265041126,8.303806884505199e-07,0.2624854088560842,8.303806884505199e-07,0.4957917831757712,8.303806884505199e-07,0.6551365259324855,  ,  
8.303812269353428e-07,0.006599516805804522,8.303812269353428e-07,0.2613007422457959,8.303812269353428e-07,0.4960980712411601,8.303812269353428e-07,0.6552458641537958,  ,  
8.303817657753293e-07,0.006781184173774753,8.303817657753293e-07,0.2601152942754389,8.303817657753293e-07,0.4964540403623289,8.303817657753293e-07,0.6553836172983349,  ,  
8.303823439128057e-07,0.007011694486488885,8.303823439128057e-07,0.2588433918273785,8.303823439128057e-07,0.4968936933238692,8.303823439128057e-07,0.6555643737792836,  ,  
