leafValue(clip(getData(":pwr" ?result "tran") (VAR("T") / 2) (32.5 * VAR("T"))) "Design_Point" 1.0) X,leafValue(clip(getData(":pwr" ?result "tran") (VAR("T") / 2) (32.5 * VAR("T"))) "Design_Point" 1.0) Y
4.512162603836276e-08,1.29697876202681e-05
4.512837930261827e-08,1.303754928886625e-05
4.514129392087272e-08,1.298353001499056e-05
4.514999999999999e-08,1.286540414200061e-05
4.515269944795396e-08,1.223171877399812e-05
4.515746674124671e-08,1.146640414898887e-05
4.516162787558732e-08,1.114897198399877e-05
4.516995014426855e-08,1.085192833570183e-05
4.517819469110754e-08,1.073094134796234e-05
4.51901647531161e-08,1.063897864680812e-05
4.52064805979209e-08,1.054652010476911e-05
4.523250290984209e-08,1.040987523529105e-05
4.527927076703184e-08,1.016638138737968e-05
4.537280648141134e-08,9.693543104624358e-06
4.54366753352612e-08,9.407567943990853e-06
4.548894941731833e-08,9.276522322547927e-06
4.553355654228448e-08,9.367562225137377e-06
4.558991826791492e-08,9.878204950527442e-06
4.563199398676019e-08,1.031700935836391e-05
4.567397176697403e-08,1.037959183960413e-05
4.568719744273524e-08,1.044320648039745e-05
4.570215398991753e-08,1.136066103407494e-05
4.570748962166314e-08,1.209572393716072e-05
4.571816088515434e-08,1.417991775314232e-05
4.572668254345201e-08,1.593901435024776e-05
4.573607066095784e-08,1.621222768447148e-05
4.574359989059251e-08,1.602428433907971e-05
4.574572196443445e-08,1.78148815532146e-05
4.574750902989026e-08,1.998211155978354e-05
4.574966078674182e-08,2.22443187639305e-05
4.575166850108863e-08,2.279406012216233e-05
4.575387937067079e-08,2.098794688699045e-05
4.575639616976963e-08,1.631436812083605e-05
4.575845935614094e-08,1.201033703682785e-05
4.575994342723404e-08,9.908739078198199e-06
4.576131817588565e-08,8.814282723043533e-06
4.576277826580327e-08,8.037978250069813e-06
4.576430873710529e-08,7.364970078862356e-06
4.576589757360835e-08,6.791467538919192e-06
4.576786763936306e-08,6.295605196327213e-06
4.57707762066985e-08,5.920679046262986e-06
4.577465227819851e-08,5.723147227074301e-06
4.577862638159995e-08,5.611565653884324e-06
4.578274928975833e-08,5.519472147449572e-06
4.578767254542229e-08,5.426998373611298e-06
4.579478244055762e-08,5.318115605436684e-06
4.580741162511063e-08,5.176138360792717e-06
4.582708484581203e-08,5.042566041772532e-06
4.585228669791551e-08,4.973699974042716e-06
4.588495829938913e-08,4.960192193009014e-06
4.591481728121251e-08,4.959790100354795e-06
4.594349179291462e-08,4.959769369873102e-06
4.597861036177074e-08,4.959762145872905e-06
4.603651668037121e-08,4.959760972494857e-06
4.615232931757214e-08,4.959761605229623e-06
4.634819798497566e-08,4.959762757271937e-06
4.668871502355687e-08,4.959764730902106e-06
4.736974910071929e-08,4.959768534897751e-06
4.873181725504413e-08,4.959775610675367e-06
5.061590862752206e-08,4.959784315779476e-06
5.249999999999999e-08,4.959791908835081e-06
5.250937499999999e-08,4.961482252066226e-06
5.252446047120814e-08,4.962726185866086e-06
5.255463141362443e-08,5.286948941663792e-06
5.256217628194805e-08,6.375095546876156e-06
5.256823020547387e-08,8.55980693168147e-06
5.257275781657825e-08,1.116865568320612e-05
