P_inst (ln_comp_coarse=2e-07) X,P_inst (ln_comp_coarse=2e-07) Y
2.035247896599387e-08,4.260587967015177e-05
2.035480801546212e-08,4.256713629330408e-05
2.035737639445087e-08,4.252785134533293e-05
2.036020413679129e-08,4.248812906827476e-05
2.036330851567616e-08,4.244823241377154e-05
2.03667081615474e-08,4.240839833813287e-05
2.037041997316447e-08,4.236891101831661e-05
2.037446312223554e-08,4.233000392048579e-05
2.037885617689418e-08,4.229190233851174e-05
2.038362036751483e-08,4.225478584717481e-05
2.038877746812327e-08,4.221881348393945e-05
2.039435201541957e-08,4.218411324756256e-05
2.040037013766631e-08,4.215080157785912e-05
2.040686081968943e-08,4.211898247274586e-05
2.041385549988171e-08,4.208875695219637e-05
2.042138872042556e-08,4.206022095363617e-05
2.042949817147947e-08,4.203346550341441e-05
2.043822506978871e-08,4.200857070881164e-05
2.044761440014766e-08,4.198560142820411e-05
2.045771523438839e-08,4.19646002827313e-05
2.046858105417774e-08,4.194558405653484e-05
2.048027009887786e-08,4.192853955004135e-05
2.049013504943893e-08,4.191643313781974e-05
2.05e-08,4.19060763805334e-05
2.050719256172014e-08,4.189961959633254e-05
2.051632387894482e-08,4.189218040938717e-05
2.052537148879212e-08,4.188576166928955e-05
2.05434667084867e-08,4.187522660975404e-05
2.057965714787588e-08,4.186077875244743e-05
2.065203802665422e-08,4.184632987049989e-05
2.079679978421091e-08,4.183795540891548e-05
2.101280412837191e-08,4.183711414213148e-05
2.131581019836237e-08,4.183815445949895e-05
2.179875359312761e-08,4.183936271047945e-05
2.276464038265808e-08,4.184117309301363e-05
2.413232019132904e-08,4.184296583011354e-05
2.447424014349678e-08,4.184327903401996e-05
2.498712007174839e-08,4.184370430792758e-05
2.511534005381129e-08,4.184379769502252e-05
2.516342254708488e-08,4.184383190992211e-05
2.525958753363206e-08,4.184390935448866e-05
2.527572386804475e-08,4.192336106352289e-05
2.528091919366357e-08,4.211851426949824e-05
2.528945355742332e-08,5.696448029166007e-05
2.529373181964155e-08,0.000115156830290771
2.529510465276147e-08,0.000144748812218415
2.529648989357749e-08,0.0001759317535229689
2.529758643827883e-08,0.0002017444413026565
2.529925631639757e-08,0.0002475589564715584
2.530097320106109e-08,0.0003049838339029819
2.530231127588235e-08,0.0003326355659844751
2.530302154776195e-08,0.0003355951915247283
2.530373181964156e-08,0.000332877079837506
2.530401896682489e-08,0.0003274263858006151
2.530440264071835e-08,0.0003223414582055601
2.530476010566513e-08,0.0003186813779555371
2.530543741773749e-08,0.0003116804226637514
2.530633899184156e-08,0.0002987912090753884
2.530733948954699e-08,0.0002834092669441214
2.530835302346253e-08,0.0002718663847598909
2.530943007043068e-08,0.0002750337703450188
2.531056768612996e-08,0.0003021476710443038
2.531144983323389e-08,0.0003296544081098445
2.531234143184502e-08,0.0003479807638598541
2.53128605775975e-08,0.0003531846111101283
2.53135519093026e-08,0.0003571278331664444
2.531417232456274e-08,0.0003575007440568477
2.531503608080491e-08,0.0003467515081026731
2.531631171038218e-08,0.0003210731092351275
2.531725321148808e-08,0.0003391670074425524
2.531828877287327e-08,0.0004082730332590762
2.531921964227577e-08,0.0004760013172538833
2.532012837553982e-08,0.0005020168705284207
2.532074660610346e-08,0.0004979132238844301
2.532151361769509e-08,0.0005041960012016119
2.53221547866751e-08,0.0005308934358035664
2.532299766903644e-08,0.000563711244309478
2.532433123053819e-08,0.0005743517058011669
2.532529039579441e-08,0.0005591629361075088
2.532617876201616e-08,0.0005402027173041362
2.532734605232986e-08,0.0005139276790190501
2.532876852698283e-08,0.000477786925062038
2.532981375485854e-08,0.0004483615745621209
2.533095007984915e-08,0.0004160670636905397
2.533256070297426e-08,0.0003804066293630076
2.533433906459238e-08,0.0003797012157759544
2.533603662367802e-08,0.0004146812803398431
2.53372285111745e-08,0.000438692383767625
2.53385801543872e-08,0.0004573402656365054
2.533992399910951e-08,0.0004811861851817741
2.534087828013997e-08,0.0005065174936134027
2.534163059735016e-08,0.0005234162570729502
2.534239836806408e-08,0.0005349011941651544
2.534314293430403e-08,0.0005412567010005131
2.534429581184655e-08,0.000545481806241136
2.534548773972865e-08,0.000544370411920531
2.534649364432362e-08,0.000537816284694858
2.534769450492065e-08,0.0005326320698148943
2.534861496986508e-08,0.00054127528485124
2.534973788576605e-08,0.0005706263368069206
2.535061768040105e-08,0.0006120584778672126
2.535150261165527e-08,0.0006639463824531762
2.535246664887989e-08,0.0007145715067253092
2.535320228787451e-08,0.0007421917270879165
2.535398918424224e-08,0.0007622292063315163
2.535515739436076e-08,0.0007887030995578443
2.535608136039074e-08,0.0008246477875063541
2.535712345545853e-08,0.0008879417961633703
2.535829482213582e-08,0.0009686733767569888
2.535918692451467e-08,0.001020555202189377
2.536007890038843e-08,0.001057587645662
2.536142096042662e-08,0.001084576031660337
2.536253738165229e-08,0.001085786880881294
