Point,Corner,d0,d2,d1,d3,d4,mc_iteration,delay,P_avg,P_out
46,tt_mc,0,0,0,1,1,6,6.53389E-09,8.51651E-07,2.83323E-08
566,tt_mc,1,1,1,0,1,6,6.2155E-09,8.52192E-07,2.4641E-08
246,tt_mc,0,1,1,0,1,6,5.94654E-09,1.00052E-06,5.18481E-08
486,tt_mc,1,1,0,0,1,6,5.66119E-09,8.86389E-07,4.0619E-08
166,tt_mc,0,1,0,0,1,6,5.36918E-09,8.61268E-07,3.68299E-08
406,tt_mc,1,0,1,0,1,6,5.07189E-09,9.54346E-07,4.36965E-08
86,tt_mc,0,0,1,0,1,6,4.77426E-09,8.22304E-07,3.58223E-08
326,tt_mc,1,0,0,0,1,6,4.48795E-09,9.36654E-07,3.99566E-08
6,tt_mc,0,0,0,0,1,6,4.19957E-09,7.60329E-07,1.62525E-08
627,tt_mc,1,1,1,1,0,7,1.33965E-08,8.79083E-07,1.70116E-08
307,tt_mc,0,1,1,1,0,7,1.30827E-08,8.76643E-07,1.81294E-08
547,tt_mc,1,1,0,1,0,7,1.27731E-08,9.12872E-07,2.11285E-08
227,tt_mc,0,1,0,1,0,7,1.24622E-08,8.72048E-07,1.7077E-08
467,tt_mc,1,0,1,1,0,7,1.21476E-08,8.62418E-07,1.87077E-08
147,tt_mc,0,0,1,1,0,7,1.18416E-08,8.39222E-07,1.05128E-08
387,tt_mc,1,0,0,1,0,7,1.15215E-08,8.68204E-07,1.93958E-08
67,tt_mc,0,0,0,1,0,7,1.1198E-08,8.86716E-07,2.47159E-08
587,tt_mc,1,1,1,0,0,7,1.08743E-08,9.60744E-07,2.90343E-08
267,tt_mc,0,1,1,0,0,7,1.05515E-08,9.03497E-07,2.19571E-08
507,tt_mc,1,1,0,0,0,7,1.02332E-08,8.78228E-07,2.49095E-08
187,tt_mc,0,1,0,0,0,7,9.91721E-09,8.45665E-07,2.00397E-08
427,tt_mc,1,0,1,0,0,7,9.59306E-09,8.95098E-07,3.18029E-08
107,tt_mc,0,0,1,0,0,7,9.27472E-09,8.86694E-07,2.65555E-08
347,tt_mc,1,0,0,0,0,7,8.96552E-09,8.82221E-07,2.81542E-08
27,tt_mc,0,0,0,0,0,7,8.65281E-09,8.09574E-07,2.45761E-08
607,tt_mc,1,1,1,1,1,7,8.64808E-09,8.08414E-07,2.04538E-08
287,tt_mc,0,1,1,1,1,7,8.34159E-09,8.61386E-07,2.73975E-08
527,tt_mc,1,1,0,1,1,7,8.03204E-09,9.25904E-07,3.52903E-08
207,tt_mc,0,1,0,1,1,7,7.7274E-09,8.96524E-07,3.54906E-08
447,tt_mc,1,0,1,1,1,7,7.42402E-09,8.63266E-07,3.43666E-08
127,tt_mc,0,0,1,1,1,7,7.12904E-09,9.03628E-07,3.02608E-08
367,tt_mc,1,0,0,1,1,7,6.81335E-09,8.09168E-07,2.57235E-08
47,tt_mc,0,0,0,1,1,7,6.53387E-09,8.71951E-07,3.42727E-08
567,tt_mc,1,1,1,0,1,7,6.2366E-09,8.78044E-07,3.24394E-08
247,tt_mc,0,1,1,0,1,7,5.92641E-09,9.03032E-07,3.64872E-08
487,tt_mc,1,1,0,0,1,7,5.66293E-09,1.00996E-06,4.75413E-08
167,tt_mc,0,1,0,0,1,7,5.31859E-09,8.91813E-07,3.53691E-08
407,tt_mc,1,0,1,0,1,7,5.06864E-09,8.72518E-07,4.62628E-08
87,tt_mc,0,0,1,0,1,7,4.78255E-09,7.87466E-07,3.26746E-08
327,tt_mc,1,0,0,0,1,7,4.46301E-09,8.03179E-07,2.81676E-08
7,tt_mc,0,0,0,0,1,7,4.1964E-09,9.10902E-07,3.83165E-08
628,tt_mc,1,1,1,1,0,8,1.33908E-08,8.76456E-07,1.57172E-08
308,tt_mc,0,1,1,1,0,8,1.30846E-08,8.55364E-07,1.94408E-08
548,tt_mc,1,1,0,1,0,8,1.27782E-08,8.94805E-07,2.14687E-08
228,tt_mc,0,1,0,1,0,8,1.24657E-08,9.01448E-07,1.64947E-08
468,tt_mc,1,0,1,1,0,8,1.21573E-08,8.80237E-07,1.36898E-08
148,tt_mc,0,0,1,1,0,8,1.18392E-08,8.65877E-07,1.86289E-08
388,tt_mc,1,0,0,1,0,8,1.15189E-08,8.58456E-07,2.05372E-08
68,tt_mc,0,0,0,1,0,8,1.12085E-08,9.0824E-07,2.2761E-08
588,tt_mc,1,1,1,0,0,8,1.08852E-08,9.16563E-07,2.94531E-08
268,tt_mc,0,1,1,0,0,8,1.05626E-08,8.45365E-07,1.63986E-08
508,tt_mc,1,1,0,0,0,8,1.02371E-08,8.86667E-07,2.42881E-08
188,tt_mc,0,1,0,0,0,8,9.92012E-09,8.23792E-07,2.70008E-08
428,tt_mc,1,0,1,0,0,8,9.58922E-09,8.42142E-07,2.54602E-08
108,tt_mc,0,0,1,0,0,8,9.27423E-09,9.19952E-07,3.15699E-08
348,tt_mc,1,0,0,0,0,8,8.96781E-09,9.18702E-07,3.51268E-08
28,tt_mc,0,0,0,0,0,8,8.64884E-09,8.07216E-07,2.32469E-08
608,tt_mc,1,1,1,1,1,8,8.64884E-09,8.07218E-07,2.32697E-08
288,tt_mc,0,1,1,1,1,8,8.34135E-09,8.44706E-07,2.29948E-08
528,tt_mc,1,1,0,1,1,8,8.03401E-09,8.69593E-07,2.975E-08
208,tt_mc,0,1,0,1,1,8,7.72777E-09,8.56901E-07,3.26609E-08
448,tt_mc,1,0,1,1,1,8,7.42503E-09,9.15781E-07,3.28017E-08
128,tt_mc,0,0,1,1,1,8,7.12559E-09,9.68105E-07,4.29104E-08
368,tt_mc,1,0,0,1,1,8,6.82944E-09,8.87872E-07,3.6219E-08
48,tt_mc,0,0,0,1,1,8,6.53861E-09,8.33859E-07,2.84484E-08
568,tt_mc,1,1,1,0,1,8,6.23521E-09,8.00168E-07,2.93071E-08
