P_inst (trise=5e-10) X,P_inst (trise=5e-10) Y
2.528975875336076e-08,-1.524771587779815e-05
2.528978454007782e-08,-1.114620694370989e-05
2.528981373195809e-08,-1.670187502837693e-05
2.528983752640314e-08,-1.012962476324074e-05
2.528985927771795e-08,-1.484909340022438e-05
2.528988321592165e-08,-9.872871781341851e-06
2.528990887998763e-08,-1.654801703113505e-05
2.528993805520083e-08,-1.129562934608493e-05
2.528996183835988e-08,-1.55489041594405e-05
2.528998365496807e-08,-9.472803715828638e-06
2.529000763647466e-08,-1.53348217498212e-05
2.529003334823042e-08,-1.122790593116358e-05
2.529006246017695e-08,-1.680394168089359e-05
2.529008620249712e-08,-1.026680311238345e-05
2.529010821768894e-08,-1.499177814603482e-05
2.529013225787764e-08,-1.004867449643621e-05
2.529015815875989e-08,-1.67256622663965e-05
2.529018710620988e-08,-1.144767278142429e-05
2.529021092134278e-08,-1.569790124386435e-05
2.52902326869916e-08,-9.622432888545433e-06
2.529025660554857e-08,-1.548115392479407e-05
2.529028238739081e-08,-1.134578485499546e-05
2.529031140230286e-08,-1.687310345804394e-05
2.529033529740852e-08,-1.033164795452766e-05
2.529035714746473e-08,-1.50629898802865e-05
2.529038110596043e-08,-1.013808765567605e-05
2.529040705966421e-08,-1.680608432902326e-05
2.529043576227269e-08,-1.152669679063425e-05
2.529045960239729e-08,-1.580341327306697e-05
2.529048154827556e-08,-9.74809670101444e-06
2.529050553881952e-08,-1.564561810357536e-05
2.52905316740468e-08,-1.151576847548712e-05
2.529056027510791e-08,-1.701263276455967e-05
2.529058424543265e-08,-1.047665484795704e-05
2.529060606301747e-08,-1.522282618562399e-05
2.529062994977381e-08,-1.031216256850328e-05
2.529065609419785e-08,-1.695071922877371e-05
2.529068457302523e-08,-1.161639980531224e-05
2.529070861870104e-08,-1.587936921852408e-05
2.529073049617161e-08,-9.838942672854308e-06
2.529075439206649e-08,-1.57587845005176e-05
2.529078074385014e-08,-1.161377042784941e-05
2.529080895218617e-08,-1.708248352399393e-05
2.529083303643076e-08,-1.056416529031003e-05
2.529085500990214e-08,-1.534657848646408e-05
2.529087891579345e-08,-1.048590184751001e-05
2.529090557983429e-08,-1.712704895422223e-05
2.529093346828278e-08,-1.174263899442027e-05
2.529095766663514e-08,-1.600465820317542e-05
2.529097955941897e-08,-9.994689070762031e-06
2.529100337270112e-08,-1.594202024306146e-05
2.529103017652368e-08,-1.176660924376973e-05
2.529105790289633e-08,-1.715568215127762e-05
2.529108228663682e-08,-1.06187235782252e-05
2.529110419045049e-08,-1.543899741304695e-05
2.529112795597191e-08,-1.061766084223447e-05
2.529115507488688e-08,-1.724157734386106e-05
2.529118239008998e-08,-1.180069607813506e-05
2.529120684271897e-08,-1.606929413630614e-05
2.529122891201669e-08,-1.011795103105402e-05
2.529125270303335e-08,-1.613242041359173e-05
2.52912803979021e-08,-1.195242916895653e-05
2.529130730271879e-08,-1.72556333922677e-05
2.529133200816236e-08,-1.071167082456741e-05
2.529135401982611e-08,-1.559981615992961e-05
2.529137768872345e-08,-1.084404976638908e-05
2.529140585977879e-08,-1.743276298366883e-05
2.529143236973421e-08,-1.186108076626708e-05
2.529145741830283e-08,-1.609916386477243e-05
2.529147957579875e-08,-1.023651707295409e-05
2.529150321349153e-08,-1.634093577946365e-05
2.529153241680073e-08,-1.211331446058644e-05
2.529155829071384e-08,-1.726078496872658e-05
2.529158379788337e-08,-1.069562145445412e-05
2.529160701499298e-08,-1.574934662975137e-05
2.529163071365995e-08,-1.116881837942542e-05
2.529166270053475e-08,-1.768065223244016e-05
2.529168778460964e-08,-1.177119345441956e-05
2.529171499397301e-08,-1.602783865501517e-05
2.529174894874834e-08,-1.073743980499769e-05
2.529177426868633e-08,-1.728663526417351e-05
2.529179776798292e-08,-1.228783618831531e-05
2.529182242429604e-08,-1.688964849246311e-05
2.52918546529212e-08,-1.04543409370897e-05
2.529188025188766e-08,-1.642690954973138e-05
2.529190791261574e-08,-1.212126110993161e-05
2.52919416392693e-08,-1.742958881932936e-05
2.529196740246938e-08,-1.093976240667755e-05
2.52919911935346e-08,-1.596255846982692e-05
2.52920159969744e-08,-1.149122204016357e-05
2.529204999856263e-08,-1.781547585512266e-05
2.529207542397108e-08,-1.190841621849125e-05
2.529210435661792e-08,-1.605047257483282e-05
2.529213563346042e-08,-1.114674049015911e-05
2.529216196716422e-08,-1.758052091476106e-05
2.529218716318832e-08,-1.241969288471878e-05
2.529221194928874e-08,-1.682549219562857e-05
