leafValue(clip(abs(P_inst) 2e-08 ((256 * 5e-08) + 2e-08)) "delay" 1.25e-08) X,leafValue(clip(abs(P_inst) 2e-08 ((256 * 5e-08) + 2e-08)) "delay" 1.25e-08) Y
5.812839335556324e-08,0.000202634125201004
5.813672285151047e-08,0.0001475493839382829
5.8146470532643e-08,9.4792545190184e-05
5.815687602640344e-08,2.514184586037821e-05
5.816559538823071e-08,6.699791522600301e-05
5.817335802064419e-08,0.0001522204949509731
5.818046475715483e-08,0.0002207679835391205
5.818798213604431e-08,0.0003017465541545558
5.819376401786613e-08,0.0003613776511723861
5.820059575226845e-08,0.0004391888737156256
5.820937655335024e-08,0.000532408966210352
5.822100667192879e-08,0.0006537373735122172
5.823265944540088e-08,0.0007569370890087853
5.824276745369799e-08,0.0008459555126300565
5.825197426758686e-08,0.0009089169599819674
5.826116409793296e-08,0.000962507162548695
5.827078889237394e-08,0.0009955889449406855
5.828012901772999e-08,0.001017704852208694
5.829150555686862e-08,0.001016562846205134
5.830358605982451e-08,0.001000021886743602
5.831705095398389e-08,0.0009551680548749507
5.833194123002077e-08,0.0008972152924087037
5.835138191836193e-08,0.000804747223103972
5.837032296118654e-08,0.0007203606487803233
5.839245553875011e-08,0.0006213056885226246
5.841671043760049e-08,0.0005287998601388328
5.844722973767879e-08,0.0004194716652101816
5.847361486883939e-08,0.0003421882813662539
5.85e-08,0.0002687781760648423
5.851628492477954e-08,0.0002320174820356594
5.853697736590413e-08,0.0001869804913554237
5.855708481852873e-08,0.0001474951245173521
5.858951359071512e-08,9.201261647815659e-05
5.864463158035214e-08,1.675158833506217e-05
5.870483255304e-08,4.218219526600796e-05
5.876965220333975e-08,8.391325038924804e-05
5.884285623036146e-08,0.0001113846830120719
5.890063429632695e-08,0.0001231294324295317
5.894094584874716e-08,0.000127660636728588
5.898545567345017e-08,0.0001304032892618408
5.902583671450559e-08,0.0001311565515587708
5.908280717432404e-08,0.0001305221600607123
5.913509330773324e-08,0.0001282701131252486
5.915233063875617e-08,0.0001269944750882422
5.917431656624399e-08,0.0001253004440497548
5.919222180837821e-08,0.000124196857358946
5.92069936466373e-08,0.0001231664054125718
5.922599577573011e-08,0.0001219469259146745
5.925505717937297e-08,0.0001199136080177855
5.929222811275629e-08,0.000117499695453168
5.933651317628671e-08,0.0001150236478301147
5.935004629972065e-08,0.0001136012887866531
5.936131012045373e-08,0.0001123232119298752
5.937152870553112e-08,0.0001122146192190725
5.93790396638596e-08,0.0001111477728737361
5.939406158051655e-08,0.0001107815788080344
5.941937720717041e-08,0.0001087530718199232
5.94527491207099e-08,0.0001075650810777615
5.949189904636793e-08,0.000104982334429544
5.954393665130192e-08,0.0001029532996896985
5.962115440730366e-08,9.858284170111932e-05
5.977558991930713e-08,9.195200073348812e-05
5.994005429322824e-08,8.421818252844155e-05
5.998060054097812e-08,8.312533103503651e-05
6.006169303647789e-08,7.926620839222311e-05
6.021791024989582e-08,7.392579304251701e-05
6.049082484136377e-08,6.396635117054499e-05
6.100986493820455e-08,4.981469681849008e-05
6.196612171311304e-08,3.006757638454382e-05
6.37155524764933e-08,1.216374984128629e-05
