Point,Corner,d0,d1,d2,d3,d4,temperature,delay,P_avg
8,fs_0,0,0,1,1,1,-55,6.46E-09,4.28E-06
16,fs_1,0,1,1,1,1,0,6.47E-09,2.70E-06
9,tt_0,0,1,0,0,0,-55,6.49E-09,3.65E-06
9,fs_2,0,1,0,0,0,80,6.50E-09,2.59E-06
5,tt_1,0,0,1,0,0,0,6.50E-09,3.42E-06
22,ss_0,1,0,1,0,1,-55,6.53E-09,9.08E-06
30,ss_1,1,1,1,0,1,0,6.54E-09,7.12E-06
29,tt_2,1,1,1,0,0,80,6.55E-09,4.99E-06
12,ss_2,0,1,0,1,1,80,6.55E-09,4.22E-06
3,sf_0,0,0,0,1,0,-55,6.58E-09,6.05E-06
11,sf_1,0,1,0,1,0,0,6.63E-09,6.19E-06
24,fs_0,1,0,1,1,1,-55,6.63E-09,3.78E-06
1,fs_1,0,0,0,0,0,0,6.64E-09,2.23E-06
21,tt_1,1,0,1,0,0,0,6.67E-09,3.95E-06
27,sf_2,1,1,0,1,0,80,6.72E-09,6.96E-06
3,tt_2,0,0,0,1,0,80,6.73E-09,5.44E-06
19,sf_0,1,0,0,1,0,-55,6.74E-09,6.56E-06
4,ss_1,0,0,0,1,1,0,6.75E-09,6.48E-06
14,ss_0,0,1,1,0,1,-55,6.75E-09,8.44E-06
28,ss_2,1,1,0,1,1,80,6.76E-09,3.59E-06
16,fs_0,0,1,1,1,1,-55,6.80E-09,3.28E-06
17,fs_1,1,0,0,0,0,0,6.81E-09,2.64E-06
27,sf_1,1,1,0,1,0,0,6.82E-09,6.69E-06
5,tt_0,0,0,1,0,0,-55,6.83E-09,4.65E-06
5,fs_2,0,0,1,0,0,80,6.83E-09,3.58E-06
13,tt_1,0,1,1,0,0,0,6.84E-09,4.43E-06
19,tt_2,1,0,0,1,0,80,6.92E-09,5.98E-06
11,sf_0,0,1,0,1,0,-55,6.93E-09,7.11E-06
20,ss_1,1,0,0,1,1,0,6.95E-09,5.86E-06
30,ss_0,1,1,1,0,1,-55,6.95E-09,7.90E-06
8,ss_2,0,0,1,1,1,80,6.96E-09,2.96E-06
1,fs_0,0,0,0,0,0,-55,6.96E-09,2.82E-06
9,fs_1,0,1,0,0,0,0,6.98E-09,3.11E-06
21,tt_0,1,0,1,0,0,-55,7.00E-09,5.17E-06
21,fs_2,1,0,1,0,0,80,7.00E-09,4.05E-06
29,tt_1,1,1,1,0,0,0,7.01E-09,4.96E-06
7,sf_1,0,0,1,1,0,0,7.02E-09,7.21E-06
7,sf_2,0,0,1,1,0,80,7.03E-09,7.44E-06
27,sf_0,1,1,0,1,0,-55,7.09E-09,7.62E-06
11,tt_2,0,1,0,1,0,80,7.11E-09,6.56E-06
17,fs_0,1,0,0,0,0,-55,7.13E-09,3.23E-06
12,ss_1,0,1,0,1,1,0,7.16E-09,5.26E-06
4,ss_0,0,0,0,1,1,-55,7.16E-09,7.25E-06
13,tt_0,0,1,1,0,0,-55,7.17E-09,5.66E-06
13,fs_2,0,1,1,0,0,80,7.17E-09,4.58E-06
3,tt_1,0,0,0,1,0,0,7.17E-09,5.45E-06
23,sf_1,1,0,1,1,0,0,7.26E-09,7.67E-06
7,sf_0,0,0,1,1,0,-55,7.26E-09,8.12E-06
9,fs_0,0,1,0,0,0,-55,7.29E-09,3.70E-06
5,fs_1,0,0,1,0,0,0,7.31E-09,4.11E-06
27,tt_2,1,1,0,1,0,80,7.32E-09,7.04E-06
29,tt_0,1,1,1,0,0,-55,7.33E-09,6.19E-06
19,tt_1,1,0,0,1,0,0,7.34E-09,6.03E-06
29,fs_2,1,1,1,0,0,80,7.34E-09,5.10E-06
28,ss_1,1,1,0,1,1,0,7.37E-09,4.58E-06
20,ss_0,1,0,0,1,1,-55,7.37E-09,6.56E-06
23,sf_2,1,0,1,1,0,80,7.37E-09,7.92E-06
16,ss_2,0,1,1,1,1,80,7.38E-09,1.73E-06
23,sf_0,1,0,1,1,0,-55,7.44E-09,8.58E-06
21,fs_1,1,0,1,0,0,0,7.48E-09,4.62E-06
3,tt_0,0,0,0,1,0,-55,7.50E-09,6.66E-06
11,tt_1,0,1,0,1,0,0,7.51E-09,6.51E-06
3,fs_2,0,0,0,1,0,80,7.51E-09,5.64E-06
15,sf_1,0,1,1,1,0,0,7.52E-09,8.21E-06
7,tt_2,0,0,1,1,0,80,7.54E-09,7.51E-06
8,ss_1,0,0,1,1,1,0,7.57E-09,3.96E-06
12,ss_0,0,1,0,1,1,-55,7.57E-09,5.91E-06
1,ss_2,0,0,0,0,0,80,7.59E-09,1.12E-06
5,fs_0,0,0,1,0,0,-55,7.63E-09,4.71E-06
15,sf_0,0,1,1,1,0,-55,7.63E-09,9.08E-06
13,fs_1,0,1,1,0,0,0,7.64E-09,5.12E-06
