delay (Vbp=1.1) X,delay (Vbp=1.1) Y,delay (Vbp=1.2) X,delay (Vbp=1.2) Y,delay (Vbp=1.3) X,delay (Vbp=1.3) Y,delay (Vbp=1.5) X,delay (Vbp=1.5) Y
4.26e-06,4.497977574675435e-09,4.26e-06,4.616952533980654e-09,4.26e-06,4.729164969628718e-09,4.26e-06,4.936381714573842e-09
4.28e-06,4.519922458420408e-09,4.28e-06,4.638499967197043e-09,4.28e-06,4.751163171344839e-09,4.28e-06,4.96022639380093e-09
4.3e-06,4.541464918548682e-09,4.3e-06,4.660963928817587e-09,4.3e-06,4.77324081627222e-09,4.3e-06,4.983302361995755e-09
4.32e-06,4.563080277281806e-09,4.32e-06,4.682566160216106e-09,4.32e-06,4.796174669710672e-09,4.32e-06,5.006243443860857e-09
4.34e-06,4.584421299476047e-09,4.34e-06,4.704404923608622e-09,4.34e-06,4.818570460448341e-09,4.34e-06,5.029592944892546e-09
4.36e-06,4.605967956502195e-09,4.36e-06,4.726937376236757e-09,4.36e-06,4.84095225536208e-09,4.36e-06,5.053152311202992e-09
4.38e-06,4.627425241462176e-09,4.38e-06,4.74841734247957e-09,4.38e-06,4.863549277051412e-09,4.38e-06,5.07589077125269e-09
4.4e-06,4.648915813513174e-09,4.4e-06,4.770245791948018e-09,4.4e-06,4.885742409508849e-09,4.4e-06,5.100154289235256e-09
4.42e-06,4.669923771149444e-09,4.42e-06,4.792192461460097e-09,4.42e-06,4.907957819721612e-09,4.42e-06,5.122885745638435e-09
4.44e-06,4.691373413171649e-09,4.44e-06,4.814238831494268e-09,4.44e-06,4.930508660661063e-09,4.44e-06,5.146204700937882e-09
4.46e-06,4.712690344052679e-09,4.46e-06,4.83596509159452e-09,4.46e-06,4.953138401732353e-09,4.46e-06,5.168899118792801e-09
4.48e-06,4.734818931963057e-09,4.48e-06,4.858243729231193e-09,4.48e-06,4.976090994623332e-09,4.48e-06,5.19257234664405e-09
4.5e-06,4.756291268357286e-09,4.5e-06,4.879981228202761e-09,4.5e-06,4.997561067868169e-09,4.5e-06,5.215678364397014e-09
4.52e-06,4.777834275106153e-09,4.52e-06,4.902104764869482e-09,4.52e-06,5.020101346291766e-09,4.52e-06,5.239081348468965e-09
4.54e-06,4.799112676040885e-09,4.54e-06,4.924274437663811e-09,4.54e-06,5.042400839719512e-09,4.54e-06,5.261614715907102e-09
4.56e-06,4.820458419701872e-09,4.56e-06,4.94637950113475e-09,4.56e-06,5.065147445713731e-09,4.56e-06,5.285319702789831e-09
4.58e-06,4.842116852594433e-09,4.58e-06,4.968146912074462e-09,4.58e-06,5.087269698049611e-09,4.58e-06,5.308281076677353e-09
4.6e-06,4.863531751089242e-09,4.6e-06,4.990091976257934e-09,4.6e-06,5.110057296695087e-09,4.6e-06,5.332071082977873e-09
4.62e-06,4.884779320980623e-09,4.62e-06,5.011989879347507e-09,4.62e-06,5.13262635942504e-09,4.62e-06,5.354758997585269e-09
4.64e-06,4.906346687530332e-09,4.64e-06,5.03395041659773e-09,4.64e-06,5.154543820415054e-09,4.64e-06,5.378029991408576e-09
