P_DTC_t (MC0=60) X,P_DTC_t (MC0=60) Y
1.045339927488406e-06,0.0002854858725149203
1.045340994402746e-06,0.0002985042618908074
1.045342203507255e-06,0.0003212424016493909
1.045343918349985e-06,0.0003588063948091326
1.045346297434665e-06,0.0004090140794908423
1.045348609628777e-06,0.000462313965970069
1.045351127313481e-06,0.0005242145472330236
1.045353129374962e-06,0.0005656784363292697
1.045354794629253e-06,0.0005905718809512018
1.045356299036267e-06,0.0006062298782492163
1.045357425912759e-06,0.0006167913054540453
1.04535873611496e-06,0.0006360107251349521
1.045359711248795e-06,0.0006516336966611645
1.045360992103459e-06,0.0006718381999165671
1.045362808648458e-06,0.0007073748512920913
1.045364462354336e-06,0.0007419933058150014
1.045366521404289e-06,0.0007772934258783523
1.045368113298787e-06,0.0007966426754050706
1.04536995174376e-06,0.0008104798587562298
1.045372433201623e-06,0.0008158146353483403
1.0453751576273e-06,0.000806622565793362
1.045378415907262e-06,0.0007797763272224061
1.04538218533209e-06,0.0007342385214046708
1.045386615583496e-06,0.0006696507636446115
1.045391561394183e-06,0.0005918671212241834
1.045397550529594e-06,0.000497363135655924
1.045404079243885e-06,0.0003995790825304999
1.045411924578362e-06,0.0002950360111729541
1.045420598391391e-06,0.0001996952591527487
1.045430954615133e-06,0.0001167662857759222
1.045442215845654e-06,6.510293149363811e-05
1.045455318578256e-06,4.021494462851895e-05
1.045468079520472e-06,3.289299331526206e-05
1.045484680950204e-06,3.069465115987384e-05
1.0455e-06,3.030572599761311e-05
1.045517786780115e-06,3.015083415292251e-05
1.045540338500445e-06,2.999993903983698e-05
1.045565016020344e-06,2.986062410157253e-05
1.045614371060143e-06,2.962046578573528e-05
1.045677646432438e-06,2.937484598624178e-05
1.045804197177029e-06,2.904072015486969e-05
1.046015346120929e-06,2.87708037331495e-05
1.046308124952666e-06,2.866624192564207e-05
1.046709872911973e-06,2.867447637364674e-05
1.04685166012376e-06,2.868811695460299e-05
1.047135234547333e-06,2.871732405402035e-05
1.047702383394481e-06,2.877182533722494e-05
1.048836681088776e-06,2.885433133860114e-05
1.05e-06,2.890963759466732e-05
1.050055907055215e-06,2.89116897201687e-05
1.050136875110642e-06,2.891461073534264e-05
1.050171653283554e-06,2.891584026709189e-05
1.050189042370009e-06,2.891644917051531e-05
1.050223820542921e-06,2.891765540571545e-05
1.050239530684792e-06,2.891820087869563e-05
1.050253195011064e-06,2.891866840963007e-05
1.050266783742654e-06,2.891912771949118e-05
1.050277750179838e-06,2.891986249948035e-05
1.050286008802379e-06,2.893032630290315e-05
1.050295297627983e-06,2.897979707615446e-05
1.050302721592552e-06,2.921976985434097e-05
1.050311203969013e-06,5.111516047663629e-05
1.050314219419535e-06,8.555836980870963e-05
1.050316790953944e-06,0.0001210249259225314
1.050319474996409e-06,0.0001452816180659757
1.050322796006017e-06,0.0001839353075002958
1.050324345263646e-06,0.000277549267380109
1.050326087155685e-06,0.0004468014526953158
1.050327507670795e-06,0.0006153339057754275
1.050328998320296e-06,0.0007902687040880804
1.050330563503517e-06,0.0009291673250943367
1.050332215283948e-06,0.0009802042243802782
1.050333496241079e-06,0.0009535701997268192
1.050334502209593e-06,0.0009145141034815207
1.050335897137449e-06,0.0008872703972727071
1.05033721082788e-06,0.0009084887914597739
1.050338344512315e-06,0.00089501269396594
1.050339292278307e-06,0.0008236460800102076
1.050340144264371e-06,0.0007230605188892873
1.050341076415856e-06,0.0006291356244069285
1.05034177939189e-06,0.0005512736054750307
1.050342395641561e-06,0.0004592502800214712
1.050343058121283e-06,0.0003626431485933173
1.050343581180895e-06,0.0003113131844947432
1.050344258138878e-06,0.0002753720521322897
1.050344949515658e-06,0.0002589130021568815
1.050345535047206e-06,0.0002536191012323951
1.05034618591444e-06,0.0002529007355188024
1.050346968460196e-06,0.0002559202409947496
1.050347778711353e-06,0.0002610841355035218
1.050348486967257e-06,0.000265896777405436
1.050349285923632e-06,0.0002706575114974291
1.050350330527724e-06,0.0002744509904637361
1.050351429372545e-06,0.0002743710007408285
1.050352774588576e-06,0.0002674690744208675
1.050354399337203e-06,0.000248249805062839
1.050356385864373e-06,0.0002134885988130417
1.050357680360701e-06,0.0002223017668053634
1.050358977363784e-06,0.0002824927644353499
1.050360707607016e-06,0.0003896228345599272
1.050361757370226e-06,0.0004459699798315922
1.050362789569424e-06,0.000488198492771269
1.050364095747289e-06,0.0005226855344021223
1.050365169910438e-06,0.0005373489658282179
1.050366256163561e-06,0.0005430751089069504
1.050367354517053e-06,0.0005423964760261878
1.050368366457251e-06,0.0005381701736339333
1.050369387350672e-06,0.0005316722427907861
1.05037037648088e-06,0.0005242745772377859
1.0503713749979e-06,0.0005160614584091527
1.050372348570533e-06,0.0005078915144689967
1.050373330477301e-06,0.0004994416257243417
1.050374304687687e-06,0.0004912450051528942
1.050375253009774e-06,0.0004832222182945035
1.05037618384767e-06,0.0004756466831416508
1.050377118187036e-06,0.0004680259862797316
1.050378087374759e-06,0.0004604736177277387
1.050379076245707e-06,0.0004527630132375699
1.050380101394215e-06,0.0004451524457449454
1.050381142902004e-06,0.0004374172232481344
1.050382194230546e-06,0.0004299993161272729
1.050383266307496e-06,0.0004224169699405842
1.050384369138195e-06,0.000415020844733177
1.05038552575223e-06,0.0004072411601373793
1.050386766344321e-06,0.0003993415604176507
1.050388130391303e-06,0.0003906635408281009
1.050389594198416e-06,0.0003818608309461599
1.050391109602767e-06,0.0003727913718366747
