P_inst (k_TG=3) X,P_inst (k_TG=3) Y
4.031743477625092e-08,-6.498453521254228e-06
4.031903786629524e-08,-5.262413986977243e-06
4.032140605397499e-08,-3.167267459679799e-06
4.032436441316835e-08,-3.22202570763701e-06
4.032825878555762e-08,-2.220889470619622e-06
4.033389719273707e-08,-2.868939708894361e-06
4.034233095859814e-08,-2.254940732520209e-06
4.035348720973398e-08,-3.199611169774144e-06
4.037099087683738e-08,-2.960760895753923e-06
4.040388560375323e-08,-4.870154943409139e-06
4.043868874154776e-08,-5.752848699480818e-06
4.046934437077388e-08,-7.606953507816805e-06
4.048467218538694e-08,-7.212875450862878e-06
4.05e-08,-7.999153990775568e-06
4.050906688397373e-08,-7.168462668323543e-06
4.05201957950772e-08,-7.028268964168841e-06
4.053091788546127e-08,-6.901649686479922e-06
4.055236206622941e-08,-6.547824606777818e-06
4.057908176916556e-08,-6.117121484961663e-06
4.061359969749407e-08,-5.573971364325529e-06
4.065671617964965e-08,-4.986470975377605e-06
4.072113280023479e-08,-4.218640409931921e-06
4.082807949102874e-08,-3.267559458438179e-06
4.086523752324134e-08,-3.011111130430669e-06
4.093955358766655e-08,-2.597158860170476e-06
4.104170407294923e-08,-2.162784490247737e-06
4.122701896072926e-08,-1.669057732242707e-06
4.150955483300225e-08,-1.306469593672773e-06
4.205673489770581e-08,-1.115253427698586e-06
4.300661586174025e-08,-1.099480081750588e-06
4.400330793087013e-08,-1.105824032411055e-06
4.5e-08,-1.10078597979061e-06
4.505190104006412e-08,-2.119311882685435e-06
4.512869190244028e-08,-2.094832337155179e-06
4.516010432429135e-08,-2.39817835571823e-06
4.522292916799349e-08,-1.155180950643144e-05
4.523984816549592e-08,-1.585677300209233e-05
4.525420294511234e-08,-1.892242863495969e-05
4.526922115437088e-08,-2.296585812998054e-05
4.52758673775956e-08,-2.484810347609064e-05
4.528114312181862e-08,-2.728964615428713e-05
4.528544981370008e-08,-2.942041305907188e-05
4.529079265863164e-08,-3.236212103158067e-05
4.529509523107145e-08,-3.449396421512896e-05
4.529766637332395e-08,-3.725015258370585e-05
4.530104315937137e-08,-4.168026618816515e-05
4.530388370868085e-08,-4.535289070594124e-05
4.530863125095232e-08,-5.144412603188122e-05
4.531213629259073e-08,-5.964897909295779e-05
4.531408975341995e-08,-6.590179892538305e-05
4.531660579512059e-08,-7.156235261462067e-05
4.531838992825374e-08,-7.411597075472977e-05
4.532085283560243e-08,-7.499687992312573e-05
4.53229274632978e-08,-7.847317978248617e-05
4.532482136128592e-08,-7.076305686342339e-05
4.532648746387608e-08,-6.796564447706583e-05
4.532822094088699e-08,-5.956326361222273e-05
4.533006939069677e-08,-6.00981387115e-05
4.533213860190801e-08,-5.937892593178794e-05
4.533421858806827e-08,-6.855171762416382e-05
4.533642919539442e-08,-7.500479903934195e-05
4.533824389477299e-08,-8.534453550705694e-05
4.53397106669099e-08,-0.0001019603288223197
4.534125085011597e-08,-0.0001142996059975422
4.53425954636546e-08,-0.0001220948343172934
4.53442155103542e-08,-0.0001188693172985603
4.534651129222739e-08,-0.0001101991397171629
4.534833757399602e-08,-0.0001015984067887322
4.535071746666021e-08,-9.656915648851934e-05
4.535345612832316e-08,-9.05869051821534e-05
4.53567805343187e-08,-9.281426523176739e-05
4.5360279284676e-08,-0.0001023083308176969
4.536311306833308e-08,-0.0001100224433085002
4.536567735466143e-08,-0.0001135898692172973
4.536927777818978e-08,-0.0001368945485712055
4.537040469992243e-08,-0.0002059459190750198
4.537167455178891e-08,-0.0002843477007099444
4.537262484010254e-08,-0.0003698292559697643
4.537382617843011e-08,-0.0004363240017691314
4.537481683199741e-08,-0.0004956476237693452
4.537588007660322e-08,-0.0005141611742399336
4.537701721554285e-08,-0.0005433471719460194
4.537798065877374e-08,-0.0005366922655667314
4.537885878364477e-08,-0.0005500660526450489
4.537974496964581e-08,-0.000537023630419727
4.538053999705883e-08,-0.0005470423665111474
4.538142665549518e-08,-0.0005324213602425442
4.538236855628194e-08,-0.0005408284830074197
4.538340022554155e-08,-0.0005253919679680453
4.5384311875623e-08,-0.0005334904226901954
4.53851274170631e-08,-0.000519102624488312
4.538585742088951e-08,-0.0005275960502511837
4.538650772734277e-08,-0.0005142641182456118
4.538712742006518e-08,-0.0005227604195806972
4.53877967797306e-08,-0.0005098595723999443
4.538863322932413e-08,-0.0005172342312508516
4.538939467546953e-08,-0.0005043638070101955
4.539011276413493e-08,-0.0005119218773949803
4.539078643233905e-08,-0.0004996179980774109
4.539143011766725e-08,-0.0005072304471997165
4.539211055224663e-08,-0.0004950932327429738
4.539297317222198e-08,-0.0005017572763646843
4.539373190960551e-08,-0.0004894669630429448
4.539446769394581e-08,-0.0004963820925366414
4.539518041537473e-08,-0.0004843539982270121
4.539587668915011e-08,-0.0004912186082883271
4.539663202154453e-08,-0.0004790497880010105
4.539746730378351e-08,-0.0004852746449841276
4.539837826612734e-08,-0.0004723562207157123
4.539926072887925e-08,-0.0004783255977889697
4.540014290522424e-08,-0.0004652005325329118
4.540104871544776e-08,-0.0004710466772211597
4.540200984164615e-08,-0.0004571581225610622
4.540307351611011e-08,-0.0004622250128717002
4.540420544073458e-08,-0.0004470369799658219
4.540542764802032e-08,-0.0004510882420974514
4.540662481110624e-08,-0.0004350005221012048
4.540776172506107e-08,-0.0004391623444288672
4.540883829566533e-08,-0.0004232633985445179
4.540985054786372e-08,-0.000427892852753627
4.541081850243219e-08,-0.0004123628561344438
4.541177960845294e-08,-0.000417167510195085
4.541279705310745e-08,-0.0004012919507971649
4.541395366315718e-08,-0.0004049711088845549
4.541518696518152e-08,-0.0003879345757141508
