P_inst (Vbp=1.1) X,P_inst (Vbp=1.1) Y,P_inst (Vbp=1.2) X,P_inst (Vbp=1.2) Y,P_inst (Vbp=1.3) X,P_inst (Vbp=1.3) Y,P_inst (Vbp=1.5) X,P_inst (Vbp=1.5) Y
1.000696997229646e-06,6.119065157905955e-05,1.000644455600699e-06,6.196333849478799e-05,1.000737226533619e-06,5.91919513644808e-05,1.001343535881866e-06,0.0001428929545720517
1.000803804569679e-06,6.116132259724035e-05,1.000702411438669e-06,6.045079344091386e-05,1.000882753954435e-06,5.887319156014815e-05,1.001355021844006e-06,0.0001586327324111876
1.000913916069534e-06,6.598268136519714e-05,1.00081832311461e-06,5.956154287022647e-05,1.001005503488649e-06,6.465548914426608e-05,1.001377993768287e-06,0.0001720729580676096
1.001013706950498e-06,7.284566986501921e-05,1.000938084124276e-06,6.38920647907669e-05,1.0011145406049e-06,7.050941276412704e-05,1.00140512700572e-06,0.000158406168436128
1.001101678926545e-06,7.588354045845718e-05,1.001044250674774e-06,7.076356085839772e-05,1.001207470289924e-06,7.631635140160227e-05,1.001416108290728e-06,0.0001509492590311901
1.001188567153897e-06,0.0001239519525986465,1.001136482536951e-06,7.367405830461065e-05,1.001236026547129e-06,9.160596743162545e-05,1.001421827683818e-06,0.0001481156517117599
1.001205925713205e-06,0.0001545629030260667,1.001227105005976e-06,0.0001239011395006066,1.001261986177306e-06,0.0001225839263858323,1.001427033932712e-06,0.0001459475058183344
1.001214604992859e-06,0.00016805625047671,1.00124511520873e-06,0.000154975757336192,1.001282646831902e-06,0.0001553407069102708,1.001432825796587e-06,0.0001430693521615147
1.001231963552167e-06,0.0001818953390621937,1.001254120310108e-06,0.0001678589708570942,1.001305966826894e-06,0.0001765541360853739,1.001438831150357e-06,0.0001385452182720905
1.001254672748367e-06,0.0001719636424348591,1.001272130512862e-06,0.0001793644601993751,1.00132600041614e-06,0.0001697465987399698,1.001445218964686e-06,0.0001315294268705774
1.00127389264095e-06,0.0001564317747779505,1.001296035591264e-06,0.0001672096070563101,1.001334300238468e-06,0.0001633066035334835,1.001452315306134e-06,0.000121932440006786
1.001279477306816e-06,0.0001532982122460906,1.001315327159096e-06,0.0001529683339547801,1.001350899883123e-06,0.0001517376231545497,1.001457800930278e-06,0.0001152206061768344
1.001284007912307e-06,0.0001509425704815181,1.001321419316341e-06,0.0001499022584638192,1.00135700395526e-06,0.0001488660683624439,1.001461652521669e-06,0.0001117328104143272
1.001288978603489e-06,0.0001477176445326402,1.001326794652192e-06,0.0001467603688843852,1.001364666189025e-06,0.0001446868476461956,1.001466129219595e-06,0.0001082761180775191
1.001295663191288e-06,0.000141137028562261,1.001332079815995e-06,0.0001423090987619085,1.001370127578272e-06,0.0001400553989544868,1.001470410077101e-06,0.000105085231114837
1.001303019337909e-06,0.0001306468652754922,1.001337120732384e-06,0.0001363922797188437,1.00137529020908e-06,0.0001339956676148698,1.001474380114651e-06,0.0001021398859664921
1.001308607172535e-06,0.0001218688549785597,1.001343617333937e-06,0.0001268927530861185,1.001381922948857e-06,0.0001245496390912045,1.001479859115854e-06,9.800284734988355e-05
